Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data;Ponto; Brix (%) ; LAI (%) ; PBU (g) 
1;23;301;AGUA BRANCA;53;IACCT062808;B1;283;05/08/2021;1;20,68;76,55;137,61
1;23;301;AGUA BRANCA;53;IACCT066667;B1;284;05/08/2021;1;18,01;64,29;136,26
1;23;301;AGUA BRANCA;53;IACCT065708;B1;285;05/08/2021;1;18,25;63,54;138,6
1;23;301;AGUA BRANCA;53;IACSP04 6007;B1;286;05/08/2021;1;22,11;82,23;148,44
1;23;301;AGUA BRANCA;53;IACCT065732;B1;287;05/08/2021;1;18,79;67,49;128,56
1;23;301;AGUA BRANCA;53;IACCT066655;B1;288;05/08/2021;1;18,16;62,47;136,24
1;23;301;AGUA BRANCA;53;IACCT065732;B2;289;05/08/2021;1;22,31;82,73;148,81
1;23;301;AGUA BRANCA;53;IACCT062505;B2;290;05/08/2021;1;19,44;69,56;139,78
1;23;301;AGUA BRANCA;53;RB86 7515;B2;291;05/08/2021;1;16,99;57,53;129,73
1;23;301;AGUA BRANCA;53;IACCT066667;B2;292;05/08/2021;1;21,98;80,43;143,15
1;23;301;AGUA BRANCA;53;IACSP04 6007;B2;293;05/08/2021;1;18,15;64,16;139,36
1;23;301;AGUA BRANCA;53;IACCT055579;B2;294;05/08/2021;1;21,45;79,31;140,91
1;23;301;AGUA BRANCA;53;IACCT062808;B2;295;05/08/2021;1;17,98;64,26;129,92
1;23;301;AGUA BRANCA;53;IACCT065708;B2;296;05/08/2021;1;20,63;76,8;148,3
1;23;301;AGUA BRANCA;53;RB92 579;B2;297;05/08/2021;1;18,19;66,42;130,88
1;23;301;AGUA BRANCA;53;IACCT066689;B2;298;05/08/2021;1;19,25;66,43;147,97
1;23;301;AGUA BRANCA;53;IACCT059903;B2;299;05/08/2021;1;18,02;64,28;128,89
1;23;301;AGUA BRANCA;53;IACCT053611;B2;300;05/08/2021;1;16,91;58,51;141,96
1;23;301;AGUA BRANCA;53;CTC 9003;B2;301;05/08/2021;1;17,3;60,75;144,48
1;23;301;AGUA BRANCA;53;IACCT069905;B2;302;05/08/2021;1;15,87;54,61;138,52
1;23;301;AGUA BRANCA;53;IACCT066655;B2;303;05/08/2021;1;22,19;79,13;141,67
1;23;301;AGUA BRANCA;53;IACCT062541;B2;304;05/08/2021;1;19,02;67,68;141,5
1;23;301;AGUA BRANCA;53;IACCT053611;B3;305;05/08/2021;1;21,72;79,8;145,61
1;23;301;AGUA BRANCA;53;RB86 7515;B3;306;05/08/2021;1;18,31;64,98;132,08
1;23;301;AGUA BRANCA;53;IACCT069905;B3;307;05/08/2021;1;20,64;75,92;134,12
1;23;301;AGUA BRANCA;53;IACCT062808;B3;308;05/08/2021;1;18,88;66,95;134,7
1;23;301;AGUA BRANCA;53;IACSP04 6007;B3;309;05/08/2021;1;21,59;78,3;141,8
1;23;301;AGUA BRANCA;53;IACCT065732;B3;310;05/08/2021;1;20,01;71,83;136,59
1;23;301;AGUA BRANCA;53;IACCT062541;B3;311;05/08/2021;1;21,54;81,73;136,03
1;23;301;AGUA BRANCA;53;IACCT059903;B3;312;05/08/2021;1;19,29;67,9;127,2
1;23;301;AGUA BRANCA;53;RB92 579;B3;313;05/08/2021;1;16,83;55,97;136,53
1;23;301;AGUA BRANCA;53;CTC 9003;B3;314;05/08/2021;1;18,58;65,52;132,24
1;23;301;AGUA BRANCA;53;IACCT066689;B3;315;05/08/2021;1;16,53;55,8;130,64
1;23;301;AGUA BRANCA;53;IACCT062505;B3;316;05/08/2021;1;21,58;77,6;150,05
1;23;301;AGUA BRANCA;53;IACCT066655;B3;317;05/08/2021;1;18,04;63,15;129,97
1;23;301;AGUA BRANCA;53;IACCT065708;B3;318;05/08/2021;1;18,94;68,64;133,15
1;23;301;AGUA BRANCA;53;IACCT066667;B3;319;05/08/2021;1;19,78;72,2;137,89
1;23;301;AGUA BRANCA;53;IACCT055579;B3;320;05/08/2021;1;17,94;64,32;131,7
